学校コード,学校種,都道府県番号,設置区分,設置者情報,本分校,本校学校コード,本校学校名,学校名,学校名カナ表記,学校略称,学校所在地（市区町村）,学校所在地（町字）,学校所在地（番地以下）,郵便番号,緯度,経度,連絡先名称,連絡先電話番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
B135210001053,B1,35,2,防府市役所,1,,,富海小学校,トノミショウガッコウ,,防府市,大字富海,1248番地,747-1111,,,代表,0835-34-0014,2020-12-22,,350161,
B135210001062,B1,35,2,防府市役所,1,,,牟礼小学校,ムレショウガッコウ,,防府市,大字牟礼,106番地,747-0004,,,代表,0835-38-0015,2020-12-22,,350162,
B135210001213,B1,35,2,防府市役所,1,,,牟礼南小学校,ムレミナミショウガッコウ,,防府市,大字江泊,1361番地,747-0014,,,代表,0835-23-5004,2020-12-22,,350177,
B135210001071,B1,35,2,防府市役所,1,,,勝間小学校,カツマショウガッコウ,,防府市,警固町二丁目,3番1号,747-0821,,,代表,0835-22-0314,2020-12-22,,350163,
B135210001080,B1,35,2,防府市役所,1,,,松崎小学校,マツサキショウガッコウ,,防府市,東松崎町,1番1号,747-0028,,,代表,0835-22-3500,2020-12-22,,350164,
B135210001099,B1,35,2,防府市役所,1,,,華浦小学校,カホショウガッコウ,,防府市,華浦二丁目,2番2号,747-0816,,,代表,0835-22-0114,2020-12-22,,350165,
B135210001106,B1,35,2,防府市役所,1,,,新田小学校,シンデンショウガッコウ,,防府市,大字新田,1014番地の1,747-0825,,,代表,0835-22-0539,2020-12-22,,350166,
B135210001115,B1,35,2,防府市役所,1,,,野島小学校,ノシマショウガッコウ,,防府市,大字野島,158番地の1,747-0832,,,代表,0835-34-1400,2020-12-22,,350167,
B135210001124,B1,35,2,防府市役所,1,,,向島小学校,ムコウシマショウガッコウ,,防府市,大字向島,775番地,747-0831,,,代表,0835-22-1796,2020-12-22,,350168,
B135210001133,B1,35,2,防府市役所,1,,,中関小学校,ナカノセキショウガッコウ,,防府市,大字浜方,746番地,747-0833,,,代表,0835-22-0566,2020-12-22,,350169,
B135210001142,B1,35,2,防府市役所,1,,,西浦小学校,ニシノウラショウガッコウ,,防府市,大字西浦,1944番地の1,747-0835,,,代表,0835-29-0101,2020-12-22,,350170,
B135210001151,B1,35,2,防府市役所,1,,,華城小学校,ハナギショウガッコウ,,防府市,華城中央二丁目,2番1号,747-0848,,,代表,0835-22-0329,2020-12-22,,350171,
B135210001160,B1,35,2,防府市役所,1,,,佐波小学校,サバショウガッコウ,,防府市,八王子二丁目,6番10号,747-0037,,,代表,0835-22-0728,2020-12-22,,350172,
B135210001179,B1,35,2,防府市役所,1,,,小野小学校,オノショウガッコウ,,防府市,大字奈美,633番地の1,747-0106,,,代表,0835-36-0004,2020-12-22,,350173,
B135210001188,B1,35,2,防府市役所,1,,,右田小学校,ミギタショウガッコウ,,防府市,大字下右田,10086番地の2,747-0063,,,代表,0835-22-1382,2020-12-22,,350174,
B135210001197,B1,35,2,防府市役所,1,,,玉祖小学校,タマノヤショウガッコウ,,防府市,大字大崎,1802番地,747-0065,,,代表,0835-22-1613,2020-12-22,,350175,
B135210001204,B1,35,2,防府市役所,1,,,大道小学校,ダイドウショウガッコウ,,防府市,大字台道,400番地の1,747-1232,,,代表,0835-32-0007,2020-12-22,,350176,
C135210000613,C1,35,2,防府市役所,1,,,富海中学校,トノミチュウガッコウ,,防府市,大字富海,1246番地の1,747-1111,,,代表,0835-34-0023,2020-12-22,,353701,
C135210000711,C1,35,2,防府市役所,1,,,牟礼中学校,ムレチュウガッコウ,,防府市,敷山町,1番1号,747-0006,,,代表,0835-23-4830,2020-12-22,,353711,
C135210000622,C1,35,2,防府市役所,1,,,国府中学校,コクフチュウガッコウ,,防府市,国衙五丁目,11番19号,747-0024,,,代表,0835-22-1369,2020-12-22,,353702,
C135210000631,C1,35,2,防府市役所,1,,,桑山中学校,クワノヤマチュウガッコウ,,防府市,桑山二丁目,7番26号,747-0808,,,代表,0835-22-2182,2020-12-22,,353703,
C135210000640,C1,35,2,防府市役所,1,,,野島中学校,ノシマチュウガッコウ,,防府市,大字野島,158番地の1,747-0832,,,代表,0835-34-1400,2020-12-22,,353704,
C135210000659,C1,35,2,防府市役所,1,,,華陽中学校,カヨウチュウガッコウ,,防府市,大字田島,719番地の2,747-0834,,,代表,0835-22-1049,2020-12-22,,353705,
C135210000668,C1,35,2,防府市役所,1,,,華西中学校,カセイチュウガッコウ,,防府市,大字西浦,10545番地の2,747-0835,,,代表,0835-29-0121,2020-12-22,,353706,
C135210000677,C1,35,2,防府市役所,1,,,佐波中学校,サバチュウガッコウ,,防府市,迫戸町,16番37号,747-0031,,,代表,0835-22-0233,2020-12-22,,353707,
C135210000686,C1,35,2,防府市役所,1,,,小野中学校,オノチュウガッコウ,,防府市,大字奈美,25番地,747-0106,,,代表,0835-36-0130,2020-12-22,,353708,
C135210000695,C1,35,2,防府市役所,1,,,右田中学校,ミギタチュウガッコウ,,防府市,大字高井,565番地,747-0064,,,代表,0835-22-0984,2020-12-22,,353709,
C135210000702,C1,35,2,防府市役所,1,,,大道中学校,ダイドウチュウガッコウ,,防府市,大字台道,1124番地,747-1232,,,代表,0835-32-0024,2020-12-22,,353710,
