都道府県コード又は市区町村コード	NO	都道府県名	市区町村名	名称	名称_カナ	名称_通称	名称_英語	文化財分類	種類	場所名称	住所	方書	緯度	経度	電話番号	内線番号	員数（数）	員数（単位）	法人番号	所有者等	文化財指定日	利用可能曜日	開始時間	終了時間	利用可能日時特記事項	画像	画像_ライセンス	概要	概要_英語	説明	説明_英語	URL	備考
353051	5010400001	山口県	周防大島町	木造阿弥陀如来坐像	モクゾウアミダニョライザゾウ			重要文化財	美術工芸品		山口県周防大島町大字日見973		33.901726	132.185525							1944/9/5												
353051	5010400002	山口県	周防大島町	久賀の石風呂	クカノイシブロ			重要有形民俗文化財	その他		山口県周防大島町大字久賀1102-1		33.941416	132.273428							1958/4/8												
353051	5010400003	山口県	周防大島町	久賀の諸職用具	クカノショショクヨウグ			"	重要有形民俗文化財"	その他		山口県周防大島町大字久賀1094-1										1978/8/5												
353051	5010400004	山口県	周防大島町	周防大島東部の生産用具	スオウオオシマトウブノセイサンヨウグ			"	重要有形民俗文化財"	その他		山口県周防大島町大字西方1958-77		33.904408	132.341595							1990/3/29												
353051	5010400005	山口県	周防大島町	安下庄のシナナシ	アゲノショウノシナナシ			"	天然記念物"	その他		山口県周防大島町大字西安下庄字安下揚利										1954/3/20												
353051	5010400006	山口県	周防大島町	木造二天王立像	モクゾウニテンノウリツゾウ			県指定有形文化財（彫刻）	美術工芸品		山口県周防大島町大字東三蒲2178		33.938322	132.226249							1966/6/10												
353051	5010400007	山口県	周防大島町	久賀のなむでん踊り	クカノナムデンオドリ			県指定無形民俗文化財	芸能		山口県周防大島町大字久賀										1976/3/16												
353051	5010400008	山口県	周防大島町	庄地灌漑用水洞	ショウジカンガイヨウスイドウ			県指定有形民俗文化財	その他		山口県周防大島町大字久賀										1972/5/12												
353051	5010400009	山口県	周防大島町	浄西寺石塔婆（三尊碑）	ジョウサイジセキトウバ（サンゾンヒ）			"県指定	有形文化財"	その他		山口県周防大島町大字油宇1176		33.933838	132.436929							1976/11/24												
353051	5010400010	山口県	周防大島町	水無瀬島のアコウ自生地帯	ミナセジマノアコウジセイチタイ			県指定天然記念物	その他		山口県周防大島町大字沖家室島										1966/6/10												
