市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳の男性以上,85歳の女性以上,世帯数,備考
352128,,山口県,柳井市,,柳井,15530,7262,8268,235,235,329,292,355,345,364,347,325,339,319,304,328,322,402,387,428,443,536,519,538,581,486,550,503,510,463,535,603,647,425,581,312,544,311,787,7814,
,,,,,日積,1239,583,656,9,2,10,10,7,15,12,10,10,17,14,10,12,7,19,16,26,17,35,17,42,39,38,34,49,42,56,59,66,67,66,88,45,62,67,144,704,
,,,,,伊陸,1410,660,750,9,4,12,13,20,15,23,17,18,28,13,13,9,17,25,19,31,31,46,41,42,43,46,45,58,47,51,56,91,105,80,80,43,73,43,103,755,
,,,,,新庄,4257,1998,2259,50,48,87,88,118,102,100,113,77,66,72,67,84,64,105,106,109,125,140,155,147,142,108,115,126,143,136,158,174,221,173,202,100,152,92,192,2083,
,,,,,余田,1371,631,740,8,14,26,22,33,19,22,23,21,14,16,20,14,17,32,29,36,27,43,47,42,46,32,47,49,52,59,73,72,82,71,62,27,49,28,97,657,
,,,,,伊保庄,2639,1227,1412,30,32,30,27,40,52,60,42,55,47,50,51,53,47,61,51,67,56,84,77,84,84,73,86,92,108,96,108,126,132,86,110,71,110,69,192,1412,
,,,,,阿月,602,281,321,3,2,5,6,9,8,5,3,6,7,2,4,5,5,6,3,12,10,18,17,27,15,19,15,22,19,29,24,35,39,36,43,25,31,17,70,346,
,,,,,平郡,241,115,126,0,0,2,0,0,0,0,1,1,0,1,0,1,0,3,1,5,1,8,1,5,6,4,4,7,2,10,5,16,15,20,18,12,23,20,49,182,
,,,,,大畠,2551,1177,1374,18,18,23,25,31,35,48,35,40,50,33,24,23,21,30,41,56,45,91,67,102,87,79,83,86,104,114,111,138,168,133,141,66,137,66,182,1366,
,,,,,計,29840,13934,15906,362,355,524,483,613,591,634,591,553,568,520,493,529,500,683,653,770,755,1001,941,1029,1043,885,979,992,1027,1014,1129,1321,1476,1090,1325,701,1181,713,1816,15319,
