どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【災害】安全な場所,地域のみんな,キリンビバレッジ　　災害の時に避難が出来ます。,伝えたい,131.8308115,34.03865347,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_013.jpeg
【災害】安全な場所,地域のみんな,朝倉公園　津波が来た時にここに避難したらいい。津波の避難場所,絶対に伝えたい,131.8198903,34.04205654,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_047.jpeg
【災害】安全な場所,"子ども,大人,お年寄り,地域のみんな",上遠石公園　普段は公園として遊べる。災害時の時は一時避難場所になっています。,絶対に伝えたい,131.8215594,34.04418232,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_066.jpeg
【災害】安全な場所,地域のみんな,東山町防災倉庫　災害が起きた時に、必要なものが揃っている。例えば、テント、災害時用トイレ、毛布など色々な必要なものが揃っている。,絶対に伝えたい,131.8147569,34.04877418,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_068.jpeg
【災害】安全な場所,地域のみんな,Tres前の消火栓　火事がおきても、水をくめる。,絶対に伝えたい,131.8227598,34.04338258,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_079.jpeg
【災害】安全な場所,地域のみんな,医師会病院の近くの体育館　災害があった時に避難できる。,絶対に伝えたい,131.8160714,34.0502379,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_097.jpeg
【災害】安全な場所,地域のみんな,キリンビバレッジ…避難場所になっているから、災害があったらここに避難する。,絶対に伝えたい,131.8303844,34.03900168,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_102.jpeg
【災害】安全な場所,"子ども,大人,お年寄り,地域のみんな",遠石小学校　避難場所になっているから。,絶対に伝えたい,131.8182813,34.04290618,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_109.jpeg
【災害】安全な場所,地域のみんな,朝倉公園　結構場所が高いから、災害で安全なところ。避難所にもなるし、遊ぶときにもオススメ。祭りもたまにある。,どちらでもよい,131.8199714,34.04197374,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_132.jpeg
【災害】安全な場所,地域のみんな,"たびら橋の下
海抜7・6mになっていて津波の時、安全。",絶対に伝えたい,131.8161969,34.0451236,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_187.jpeg
【災害】安全な場所,地域のみんな,周南市福祉センターの近く。防災倉庫がある,伝えたい,131.8088865,34.04581413,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_200.jpeg
