公営駐輪場_全国地方公共団体コード,施設_ID,公営駐輪場_ID,公営駐輪場_名称,公営駐輪場_名称（カナ）,公営駐輪場_名称（英字）,公営駐輪場_説明,公営駐輪場_緯度,公営駐輪場_経度,公営駐輪場_座標参照系,公営駐輪場_座標参照系コード,公営駐輪場_屋内外,公営駐輪場_最大駐輪台数,施設_ID,施設_名称,施設_名称（カナ）,施設_名称（英字）,施設_POIコード,施設_概要,施設_説明,住所_全国地方公共団体コード,住所_町字ID,住所_都道府県,住所_市区町村（郡）,住所_町字,住所_番地以下,住所_建物名等(方書),住所_連結表記,住所_緯度,住所_経度,住所_座標参照系,住所_座標参照系コード,施設_サービス曜日,施設_開始時刻,施設_終了時刻,施設_日時備考,施設_料金種別,施設_料金備考,連絡先_電話番号,
352152,,BPID00000001,福川駅南駐輪場（県道上り高架下側）,フクガワエキミナミチュウリンジョウ（ケンドウノボリコウカシタガワ）,,,,,,,屋外,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000001,徳山駅南側駐輪場,トクヤマエキミナミナガワチュウリンジョウ,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000002,徳山駅西側駐輪場,トクヤマエキニシガワチュウリンジョウ,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000003,櫛ヶ浜駅西駐輪場,クシガハマエキニシチュウリンジョウ,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000004,櫛ヶ浜駅東駐輪場,クシガハマエキヒガシチュウリンジョウ,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000005,新南陽駅前駐輪場,シンナンヨウエキマエチュウリンジョウ,,,,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000006,福川駅前駐輪場,フクガワエキマエチュウリンジョウ,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000007,福川駅南駐輪場（県道上り新南陽球場前）,フクガワエキミナミチュウリンジョウ,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000008,大河内駅駐輪場,オオカワチエキチュウリンジョウ,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000009,勝間駅駐輪場,カツマエキチュウリンジョウ,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000010,高水駅駐輪場,タカミズエキチュウリンジョウ,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
352152,,BPIK00000011,徳山駅東側駐輪場,トクヤマエキヒガシガワチュウリンジョウ,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,
